group,labelled,predicted,siblings_wrong,unanimous,mean_pred_conf,mean_true_conf,score
Tharparkar_55_jpg,Tharparkar,Hariana,3/3,True,1.0,0.0,1.0
Hariana_29_jpg,Hariana,Tharparkar,3/3,True,1.0,0.0,1.0
Tharparkar_73_jpg,Tharparkar,Nagori,3/3,True,1.0,0.0,1.0
Tharparkar_14_jpeg,Tharparkar,Hariana,1/1,True,1.0,0.0,1.0
Jersey_29_jpg,Jersey,Holstein_Friesian,1/1,True,1.0,0.0,1.0
Jersey_154_jpg,Jersey,Holstein_Friesian,1/1,True,1.0,0.0,1.0
Hariana_121_jpg,Hariana,Nagori,3/3,True,1.0,0.0,1.0
Gir_85_jpg,Gir,Sahiwal,3/3,True,1.0,0.0,1.0
Brown_Swiss_28_jpg,Brown_Swiss,Holstein_Friesian,3/3,True,1.0,0.0,1.0
Krishna_Valley_74_jpg,Krishna_Valley,Pulikulam,1/1,True,1.0,0.0,1.0
Red_Sindhi_41_jpg,Red_Sindhi,Vechur,1/1,True,1.0,0.0,1.0
00000251_jpg,Vechur,Red_Sindhi,3/3,True,0.999,0.0,0.999
Sahiwal_429_jpeg,Sahiwal,Vechur,3/3,True,0.999,0.0,0.999
Guernsey_4_jpg,Guernsey,Ayrshire,1/1,True,1.0,0.0,0.999
Gir_83_jpg,Gir,Rathi,3/3,True,0.999,0.0,0.999
Hariana_46_jpg,Hariana,Tharparkar,1/1,True,1.0,0.0,0.999
Sahiwal_421_jpg,Sahiwal,Red_Sindhi,3/3,True,0.998,0.0,0.998
Ayrshire_18_jpg,Ayrshire,Guernsey,1/1,True,0.996,0.002,0.994
Kankrej_73_jpg,Kankrej,Krishna_Valley,3/3,True,0.993,0.0,0.993
Jersey_70_jpg,Jersey,Brown_Swiss,1/1,True,0.993,0.002,0.992
Amritmahal_23_png,Amritmahal,Kankrej,3/3,True,0.995,0.003,0.992
Guernsey_73_jpg,Guernsey,Ayrshire,3/3,True,0.996,0.004,0.992
Kankrej_98_jpg,Kankrej,Krishna_Valley,3/3,True,0.994,0.003,0.991
Guernsey_96_jpg,Guernsey,Jersey,3/3,True,0.995,0.004,0.991
Amritmahal_65_png,Amritmahal,Kankrej,3/3,True,0.99,0.0,0.99
Krishna_Valley_99_jpg,Krishna_Valley,Kankrej,3/3,True,0.993,0.007,0.985
Ayrshire_183_jpg,Ayrshire,Holstein_Friesian,1/1,True,0.987,0.004,0.983
Krishna_Valley_23_jpg,Krishna_Valley,Amritmahal,1/1,True,0.98,0.001,0.98
Tharparkar_71_jpg,Tharparkar,Ongole,3/3,True,0.98,0.001,0.979
Hallikar_165_jpeg,Hallikar,Kankrej,3/3,True,0.979,0.0,0.979
00000176_jpg,Rathi,Gir,3/3,True,0.988,0.01,0.978
Tharparkar_192_jpg,Tharparkar,Kankrej,3/3,True,0.982,0.003,0.978
00000344_jpg,Rathi,Alambadi,3/3,True,0.974,0.002,0.971
Guernsey_95_jpg,Guernsey,Ayrshire,3/3,True,0.977,0.023,0.953
Kankrej_159_jpg,Kankrej,Krishna_Valley,3/3,True,0.956,0.005,0.952
Hallikar_44_jpg,Hallikar,Nagori,3/3,True,0.955,0.006,0.949
Amritmahal_55_png,Amritmahal,Kankrej,1/1,True,0.966,0.02,0.946
Holstein_Friesian_328_jpg,Holstein_Friesian,Brown_Swiss,1/1,True,0.94,0.0,0.94
Brown_Swiss_111_jpg,Brown_Swiss,Krishna_Valley,3/3,True,0.954,0.019,0.935
Brown_Swiss_79_jpg,Brown_Swiss,Jersey,3/3,True,0.947,0.018,0.929
Guernsey_67_jpg,Guernsey,Ayrshire,3/3,True,0.93,0.001,0.929
Alambadi_91_png,Alambadi,Hallikar,1/1,True,0.945,0.02,0.925
Hariana_45_jpg,Hariana,Krishna_Valley,3/3,True,0.924,0.0,0.924
Hallikar_79_png,Hallikar,Nagori,3/3,True,0.927,0.005,0.922
Amritmahal_5_jpg,Amritmahal,Hariana,3/3,True,0.921,0.0,0.921
Red_Sindhi_75_jpg,Red_Sindhi,Vechur,3/3,True,0.918,0.0,0.918
Red_Sindhi_55_jpg,Red_Sindhi,Sahiwal,3/3,True,0.95,0.032,0.918
Hariana_79_jpg,Hariana,Amritmahal,3/3,True,0.916,0.0,0.916
Gir_297_jpg,Gir,Rathi,3/3,True,0.957,0.042,0.915
00000087_jpg,Nagori,Tharparkar,3/3,True,0.915,0.0,0.915
Kangayam_92_jpg,Kangayam,Vechur,3/3,True,0.907,0.0,0.907
Gir_96_jpg,Gir,Krishna_Valley,3/3,True,0.906,0.0,0.906
Jersey_162_jpg,Jersey,Sahiwal,3/3,True,0.922,0.016,0.906
Guernsey_64_jpg,Guernsey,Jersey,1/1,True,0.885,0.0,0.885
Krishna_Valley_9_jpg,Krishna_Valley,Kangayam,3/3,True,0.885,0.004,0.882
Red_Sindhi_40_jpg,Red_Sindhi,Gir,3/3,True,0.911,0.034,0.877
Pulikulam_58_jpg,Pulikulam,Hallikar,1/1,True,0.882,0.011,0.871
00000110_jpg,Nagori,Amritmahal,1/1,True,0.87,0.0,0.87
Hariana_96_jpg,Hariana,Hallikar,3/3,True,0.904,0.035,0.87
Kangayam_1_JPG,Kangayam,Pulikulam,3/3,True,0.925,0.061,0.864
Sahiwal_307_jpg,Sahiwal,Red_Sindhi,3/3,True,0.865,0.003,0.862
Hallikar_160_jpg,Hallikar,Krishna_Valley,1/1,True,0.885,0.032,0.853
Ongole_161_jpg,Ongole,Tharparkar,3/3,True,0.908,0.056,0.852
00000020_jpg,Nagori,Hariana,3/3,True,0.851,0.002,0.849
Ongole_27_jpg,Ongole,Kangayam,3/3,True,0.845,0.004,0.84
Screenshot-259-_png,Vechur,Sahiwal,3/3,True,0.843,0.023,0.82
Brown_Swiss_190_jpg,Brown_Swiss,Jersey,3/3,True,0.801,0.008,0.793
Brown_Swiss_83_jpg,Brown_Swiss,Krishna_Valley,1/1,True,0.867,0.083,0.784
Amritmahal_87_jpg,Amritmahal,Nagori,1/1,True,0.773,0.004,0.769
Pulikulam_107_jpg,Pulikulam,Nagori,3/3,True,0.765,0.004,0.762
Gir_30_jpg,Gir,Sahiwal,1/1,True,0.772,0.015,0.757
Tharparkar_98_png,Tharparkar,Hariana,3/3,True,0.859,0.11,0.749
