path,reason,ocr_snippet
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/00000243_jpg.rf.40f7b21b3f35904c981f975b115b9aac.jpg,generic-text,Kamala
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/00000243_jpg.rf.9c7a6f8a4180c65aaf0366558833b778.jpg,generic-text,Kamala
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/00000243_jpg.rf.f9f4b1a63bb506d600b937ecd5756748.jpg,generic-text,Kamala
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Amritmahal_83_jpg.rf.e57bf73538cdbdfd5d69a2bee4d962d7.jpg,generic-text,Fig. 9.20. Amritmahal
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Amritmahal_83_jpg.rf.e914ce5f669cd8816c9bb5d9967585fb.jpg,generic-text,Fig. 9.20. Amritmahal
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Brown_Swiss_185_jpg.rf.3080085f61407e2ac682054a8796aca1.jpg,generic-text,Loe eee teget Cibben s Pad y Meta)
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Brown_Swiss_78_jpg.rf.47568712702c98f4d066bc1e89d2a201.jpg,generic-text,provided by Hoard’'s Dairyman
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Brown_Swiss_78_jpg.rf.77063e03fc9ba467f78124ddfb46d00d.jpg,generic-text,provided by Hoard’'s Dairyman
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Guernsey_73_jpg.rf.206bf3a7b05046da60dcf0b078408d29.jpg,generic-text,We ied
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Guernsey_73_jpg.rf.e75798d1761981e014142b3c4079fa67.jpg,generic-text,ng fila  3 a Joana a
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Guernsey_73_jpg.rf.ff2bf37e126b11febc907740d26f88d4.jpg,generic-text,We ied
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Hariana_96_jpg.rf.93e6bb4f97d4f4798789444a6e955508.jpg,generic-text,"Calves of Hariana Breed@Kamdhenu Gaushala, Delhi"
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Hariana_96_jpg.rf.b914eaed147c72f242886fb74105a040.jpg,generic-text,"Calves of Hariana Breed@Kamdhenu Gaushala, Delhi"
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Hariana_96_jpg.rf.f2d3247cf1ab216a523d716881aa9193.jpg,generic-text,"Calves of Hariana Breed@Kamdhenu Gaushala, Delhi"
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Holstein_Friesian_36_jpg.rf.3eaaf8e70f42cfa57cc71845e17f1b8e.jpg,keyword:alamy,alamy stock photo i
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Holstein_Friesian_36_jpg.rf.650720e3b6a529b4c550bb84f1b1053c.jpg,keyword:alamy,alamy stock photo .
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Holstein_Friesian_36_jpg.rf.bbaa2b0a48cbd95f1d606ef34744d9fb.jpg,keyword:alamy,alamy stock photo .
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Kangayam_58_jpg.rf.3913396e9495c62dcf5e4c74249408a6.jpg,generic-text,depositphotos
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Kangayam_58_jpg.rf.ce948526c24a7945db4a523586e97b1e.jpg,generic-text,depositphotos
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Kangayam_58_jpg.rf.d70cc0cb9dced169a7d4a868caa600ce.jpg,generic-text,depositphotos
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Krishna_Valley_57_jpg.rf.2e4dc08f875fd7c58a205f897336041d.jpg,generic-text,0.9907. Oxlaboina State Univatsity
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Krishna_Valley_57_jpg.rf.c1ec4ebbd70056f7b83f7a348c1604de.jpg,generic-text,0.9907. Oxlaboina State Univatsity
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Krishna_Valley_57_jpg.rf.f4853ecadb4bbcc458b3921e2b963a41.jpg,generic-text,0.9907. dlaboina State Univatsity
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Red_Sindhi_65_png.rf.6ae09839679d6d9dac0e250aa53dc356.jpg,generic-text,"7, | Nt i —i! - . a . UN Veg as een"
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Red_Sindhi_65_png.rf.d72e9c3572b870e4a019229b8adbfd38.jpg,generic-text,a Nt i —i! - a . UN Vag a eer
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Red_Sindhi_81_jpg.rf.fa1085fc3ef77a89ecca96730cf321fd.jpg,generic-text,Red'Sindht
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Sahiwal_321_jpg.rf.70f647f28bd5666c47e7b2273d40a2e0.jpg,generic-text,Australian Sahiwal hyll  Australia
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Sahiwal_321_jpg.rf.79e53df250327fc8002e6c1843aef8b4.jpg,generic-text,Australian Sahiwal hyll  Australia
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/train/Sahiwal_321_jpg.rf.edec34914b574a177364b18bc0ed3a58.jpg,generic-text,Australian Sahiwal hyll  Australia
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/valid/00000113_JPG.rf.66cae507d2bc2c1554bf25268f6c5830.jpg,keyword:.com,images shramajeevi.com
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/valid/Holstein_Friesian_82_jpg.rf.2d1173a2c58fe0197325a18ea3051f31.jpg,keyword:alamy,E} alamy stock photo
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/valid/Krishna_Valley_68_jpg.rf.33379d810f890bac55610d9936f13d53.jpg,keyword:alamy,EE] alamy stock photo
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/valid/Pulikulam_63_png.rf.5f5e0b6994f0075060f5457e5289e0b1.jpg,generic-text,PULIKULAM
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/valid/Screenshot-296-_png.rf.68c161962bc6afcdcd2f4d05a0dffc03.jpg,generic-text,«| Worl EnvionmentDay_(
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/test/Amritmahal_55_png.rf.db91a53ea591ead6e672b61b52a55453.jpg,generic-text,TE bl > 1:2073:28 e
/Users/manavsingla/Developer/SIH2025/sih2025/data/indianbovine1/test/Holstein_Friesian_224_jpg.rf.d826d481a9ccbfa52b9aa3202f480d3d.jpg,generic-text,THS MAGES MoT
